,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
98,-0.5267,0.145,0.145,0.0,@BBC,2018-07-02 00:58:59,"RT @sundayschild22: @MalcolmNance @CNN @MSNBC @NBC @FBI @CBSNews @ABC @BBC @NPR — This is a direct threat from trump, he is inciting violen…",99
99,0.4939,0.0,0.0,0.132,@CBS,2018-07-02 01:51:24,RT @SportTechie: This week the @NFL and @CBS announced an expansion of their streaming agreement which will now include #streaming access v…,1
100,0.0,0.0,0.0,0.0,@CBS,2018-07-02 01:50:31,RT @HapkJits_ADDICT: @NorsemanActual @realDonaldTrump @nytimes @NBCNews @ABC @CBS @CNN  https://t.co/Tcd1otbvpJ,2
101,0.6369,0.0,0.0,0.208,@CBS,2018-07-02 01:48:54,"RT @ISAACYASS: @realDonaldTrump
@restore_US_now
@AP @cnnbrk @nytimes @CNN
@POTUS @WSJ @ABC @CBS
@FoxNews
@AnnCoulter
.
Love this. . https:/…",3
102,0.0,0.0,0.0,0.0,@CBS,2018-07-02 01:48:41,@CBS hi,4
103,0.0,0.0,0.0,0.0,@CBS,2018-07-02 01:48:31,"RT @ISAACYASS: @realDonaldTrump
@restore_US_now
@AP @cnnbrk @nytimes @CNN
@POTUS @WSJ @ABC @CBS
@FoxNews
@AnnCoulter
.
Remember https://t.c…",5
104,-0.6908,0.231,0.231,0.0,@CBS,2018-07-02 01:48:26,@SecElaineChao @msnbc @cbs @abc @CNN Stop acting victimize for your old geezer husband. If you and old geezer can n… https://t.co/LMFQDUPdaA,6
105,0.0,0.0,0.0,0.0,@CBS,2018-07-02 01:48:24,"RT @ISAACYASS: @realDonaldTrump
@restore_US_now
@AP @cnnbrk @nytimes @CNN
@POTUS @WSJ @ABC @CBS
@FoxNews
@AnnCoulter
.
Think of it: https:/…",7
106,0.4404,0.0,0.0,0.146,@CBS,2018-07-02 01:48:07,"RT @ISAACYASS: @realDonaldTrump
@restore_US_now
@AP @cnnbrk @nytimes @CNN
@POTUS @WSJ @ABC @CBS
@FoxNews
@AnnCoulter
.
Nicely done,
By Jaco…",8
107,0.0,0.0,0.0,0.0,@CBS,2018-07-02 01:47:52,"RT @ISAACYASS: @FoxNews @MariaBartiromo @POTUS .
@realDonaldTrump
@restore_US_now
@AP @cnnbrk @nytimes @CNN
@POTUS @WSJ @ABC @CBS
@FoxNews…",9
108,0.0,0.0,0.0,0.0,@CBS,2018-07-02 01:47:34,"RT @ISAACYASS: @realDonaldTrump
@restore_US_now
@AP @cnnbrk @nytimes @CNN
@POTUS @WSJ @ABC @CBS
@FoxNews
@AnnCoulter
.
Trump at age 34
UnAi…",10
109,0.0,0.0,0.0,0.0,@CBS,2018-07-02 01:47:01,"RT @ISAACYASS: @cnnbrk @realDonaldTrump
@restore_US_now
@AP @cnnbrk @CNN @WSJ @ABC @CBS
@FoxNews
@AnnCoulter
.
2,700,000 AMERICAN
kids with…",11
110,0.0,0.0,0.0,0.0,@CBS,2018-07-02 01:46:58,@fantomseeker @PennyWainwrigh1 @ForeverLogical @larryelder @GOP @nytimes @NBCNews @ABC @CBS @CNN Do you have proof?,12
111,0.0,0.0,0.0,0.0,@CBS,2018-07-02 01:45:12,RT @JaprilMint2Be: Still salty that @cbs passed on Cagney and Lacey tbh,13
112,0.0,0.0,0.0,0.0,@CBS,2018-07-02 01:44:40,@xijingping @PutinRF @washingtonpost @uriminzok @nbc @DerSPIEGEL @lemondefr @CNN @MSNBC @realDonaldTrump @Twitter… https://t.co/aWsIv56Xg9,14
113,0.4019,0.0,0.0,0.184,@CBS,2018-07-02 01:43:54,"RT @frakikkalp85: #AmyAcker #RootIsAlive #PersonOfInterest
@POIWritersRoom @CBS  
Yes, I did
#ShootSpinOff #POI6 #IDontGiveUp #SamanthaGrov…",15
114,0.0,0.0,0.0,0.0,@CBS,2018-07-02 01:43:42,RT @frakikkalp85: @PersonOfInterest Bring them back! #RootIsAlive #ShootSpinOff #wewantthemback @CBS https://t.co/lgED9uzVY3,16
115,-0.7036,0.295,0.295,0.155,@CBS,2018-07-02 01:43:37,"RT @rjouchen: Love isn't always beautiful, but it's still so damn worth it.
@warnerbrostv @CBS We need Shoot back! All of fandoms are waiti…",17
116,0.714,0.061,0.061,0.25,@CBS,2018-07-02 01:43:36,"RT @flyingeagle2223: I need #Deception back in my life i miss it 
... please think about picking up this fantastic show @DeceptionABC  #iLo…",18
117,0.3182,0.0,0.0,0.141,@CBS,2018-07-02 01:43:19,RT @CMitchel14: @NancyPelosi @SenKamalaHarris @SenFeinstein @RepMaxineWaters @seanhannity @foxnews @cnn @msnbc @abc @CBS   Securing the bor…,19
118,0.4215,0.0,0.0,0.318,@CBS,2018-07-02 01:43:17,@frakikkalp85 @4_A_F @PersonInterest @CBS @POIWritersRoom Nice pic😊,20
119,0.3612,0.0,0.0,0.122,@CBS,2018-07-02 01:43:17,"RT @Dry_Observer: @ericgarland @CNN @ABC @CBS @NBCNews @MSNBC .@CNN .@ABC .@CBS .@NBCNews .@MSNBC 
If you would like further clarification…",21
120,0.6249,0.0,0.0,0.255,@CBS,2018-07-02 01:42:47,RT @frakikkalp85: @PersonInterest  #AmyAcker #SarahShahi @CBS @POIWritersRoom It would be great a #ShootSpinOff https://t.co/s0PrfWvvRe,22
121,0.0,0.0,0.0,0.0,@CBS,2018-07-02 01:42:30,@PennyWainwrigh1 @ForeverLogical @larryelder @GOP @nytimes @NBCNews @ABC @CBS @CNN I don't shop at Wal-Mart!,23
122,-0.2924,0.238,0.238,0.0,@CBS,2018-07-02 01:42:10,"#PersonOfInterest
#RootandShaw
#wewantthemback!
@CBS we miss them! https://t.co/66ZN2GY3zU",24
123,-0.2244,0.1,0.1,0.0,@CBS,2018-07-02 01:40:01,@WeWatchedAThing @thecountdownpc I miss #Reaper too! In our #upfront episode we discussed Missy’s new turn as an FB… https://t.co/oS4xBPPSEi,25
124,-0.7269,0.303,0.303,0.0,@CBS,2018-07-02 01:39:12,"@CBS @CBSBigBrother @JulieChen @BigBrotherCA Sabotage your shows, i expect that from ABC, who stay ignoring fans.Ty… https://t.co/QHH6Z2A0yn",26
125,0.5859,0.0,0.0,0.255,@CBS,2018-07-02 01:38:59,@CBS Thank you for putting @instinctcbs on at 9pm tonight. Please do the same this fall.,27
